libraryId,anatId,anatName,stageId,stage,sex,strain,platform
DRX002701,UBERON:0000956,cerebral cortex,MmulDv:0000018,1-year-old stage (macaque),male,NA,single
DRX002702,UBERON:0000956,cerebral cortex,MmulDv:0000018,1-year-old stage (macaque),male,NA,single
DRX002703,UBERON:0002037,cerebellum,MmulDv:0000018,1-year-old stage (macaque),male,NA,single
DRX002704,UBERON:0002037,cerebellum,MmulDv:0000018,1-year-old stage (macaque),male,NA,single
ERX016335,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,NA,single
ERX016343,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,NA,single
ERX1403306,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,NA,paired
ERX1403307,UBERON:0002107,liver,UBERON:0018241,prime adult stage,female,NA,paired
ERX1403308,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,NA,paired
ERX1403309,UBERON:0002107,liver,UBERON:0018241,prime adult stage,male,NA,paired
ERX221778,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221779,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221780,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221781,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221782,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221783,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221784,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221785,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221786,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX221787,CL:0000057,fibroblast,UBERON:0000104,life cycle,female,NA,paired
ERX2613081,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613082,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613083,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613084,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613085,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,female,wild-type,single
ERX2613087,UBERON:0000948,heart,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613088,UBERON:0000948,heart,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613090,UBERON:0000948,heart,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613091,UBERON:0000948,heart,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613092,UBERON:0002028,hindbrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613093,UBERON:0002028,hindbrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613094,UBERON:0002028,hindbrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613095,UBERON:0002028,hindbrain,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613096,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613097,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613098,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613099,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,female,wild-type,single
ERX2613100,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613101,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613102,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613103,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613104,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613105,UBERON:0002107,liver,UBERON:0007221,neonate stage,female,wild-type,single
ERX2613106,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613107,UBERON:0000473,testis,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613108,UBERON:0000473,testis,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613109,UBERON:0000473,testis,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613110,UBERON:0000473,testis,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613111,UBERON:0000473,testis,UBERON:0007221,neonate stage,male,wild-type,single
ERX2613113,UBERON:0001890,forebrain,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613114,UBERON:0001890,forebrain,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613115,UBERON:0000948,heart,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613116,UBERON:0000948,heart,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613117,UBERON:0000948,heart,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613118,UBERON:0002028,hindbrain,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613119,UBERON:0000082,adult mammalian kidney,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613120,UBERON:0000082,adult mammalian kidney,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613121,UBERON:0000082,adult mammalian kidney,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613122,UBERON:0000082,adult mammalian kidney,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613123,UBERON:0002107,liver,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613124,UBERON:0002107,liver,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613125,UBERON:0002107,liver,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613126,UBERON:0002107,liver,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613127,UBERON:0000473,testis,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
ERX2613128,UBERON:0000473,testis,MmulDv:0000018,1-year-old stage (macaque),male,wild-type,single
