libraryId,anatId,anatName,stageId,stage,sex,strain,platform
DRX029601,UBERON:0000922,embryo,MmusDv:0000024,Theiler stage 17 (mouse),NA,C57BL/6,single
DRX029602,UBERON:0000922,embryo,MmusDv:0000024,Theiler stage 17 (mouse),NA,C57BL/6,single
DRX029603,UBERON:0000922,embryo,MmusDv:0000024,Theiler stage 17 (mouse),NA,C57BL/6,single
DRX029604,UBERON:0000922,embryo,MmusDv:0000026,Theiler stage 19 (mouse),NA,C57BL/6,single
DRX029605,UBERON:0000922,embryo,MmusDv:0000026,Theiler stage 19 (mouse),NA,C57BL/6,single
DRX029606,UBERON:0000922,embryo,MmusDv:0000026,Theiler stage 19 (mouse),NA,C57BL/6,single
DRX029607,UBERON:0000922,embryo,MmusDv:0000027,Theiler stage 20 (mouse),NA,C57BL/6,single
DRX029608,UBERON:0000922,embryo,MmusDv:0000027,Theiler stage 20 (mouse),NA,C57BL/6,single
DRX029609,UBERON:0000922,embryo,MmusDv:0000027,Theiler stage 20 (mouse),NA,C57BL/6,single
DRX029610,UBERON:0000922,embryo,MmusDv:0000028,Theiler stage 21 (mouse),NA,C57BL/6,single
DRX029611,UBERON:0000922,embryo,MmusDv:0000028,Theiler stage 21 (mouse),NA,C57BL/6,single
DRX029612,UBERON:0000922,embryo,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6,single
DRX029613,UBERON:0000922,embryo,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6,single
DRX029614,UBERON:0000323,late embryo,MmusDv:0000032,Theiler stage 23 (mouse),NA,C57BL/6,single
DRX029615,UBERON:0000323,late embryo,MmusDv:0000032,Theiler stage 23 (mouse),NA,C57BL/6,single
DRX029616,UBERON:0000323,late embryo,MmusDv:0000033,Theiler stage 24 (mouse),NA,C57BL/6,single
DRX029617,UBERON:0000323,late embryo,MmusDv:0000033,Theiler stage 24 (mouse),NA,C57BL/6,single
DRX029618,UBERON:0000323,late embryo,MmusDv:0000033,Theiler stage 24 (mouse),NA,C57BL/6,single
DRX029619,UBERON:0000323,late embryo,MmusDv:0000034,Theiler stage 25 (mouse),NA,C57BL/6,single
DRX029620,UBERON:0000323,late embryo,MmusDv:0000034,Theiler stage 25 (mouse),NA,C57BL/6,single
DRX029621,UBERON:0000323,late embryo,MmusDv:0000035,Theiler stage 26 (mouse),NA,C57BL/6,single
DRX029622,UBERON:0000323,late embryo,MmusDv:0000035,Theiler stage 26 (mouse),NA,C57BL/6,single
DRX029623,UBERON:0000922,embryo,UBERON:0000110,neurula stage,NA,C57BL/6,single
DRX029624,UBERON:0000922,embryo,UBERON:0000110,neurula stage,NA,C57BL/6,single
DRX029625,UBERON:0000922,embryo,MmusDv:0000020,Theiler stage 13 (mouse),NA,C57BL/6,single
